st,t1,f,t2,a,t3,v,t4,re
0.082443,0.081822,0.35017,0.082557,11.966,0.082784,0.90694,0.082609,131.83
0.17164,0.17324,0.4598,0.16951,-8.3702,0.17201,1.0586,0.1718,141.49
0.24973,0.25146,0.53932,0.25095,-8.3116,0.24886,0.35795,0.24766,41.062
0.32905,0.32869,0.51073,0.33096,-3.6475,0.32828,-0.14438,0.32827,16.863
0.41866,0.41835,0.42962,0.41839,1.2132,0.41843,-0.2459,0.41948,32.952
0.49842,0.49706,0.36165,0.49982,1.1403,0.49823,-0.14486,0.49858,20.027
0.58148,0.57971,0.32147,0.5794,1.1991,0.58546,-0.035402,0.58136,5.2953
0.67149,0.67188,0.31218,0.67216,3.5594,0.67115,0.15845,0.67077,24.997
0.75368,0.7535,0.36004,0.75251,11.973,0.75299,0.80801,0.75571,116.73
0.83418,0.83374,0.45809,0.83402,-7.2443,0.8313,1.0061,0.83765,130.42
0.92346,0.92293,0.52679,0.92459,-8.4364,0.92313,0.36027,0.9232,41.687
1.0019,1.0001,0.4897,1.0048,-1.1409,0.99923,-0.040785,1.0033,4.7787
1.0808,1.0806,0.41941,1.0826,-1.1477,1.0801,-0.14228,1.0797,18.661
1.169,1.1686,0.35916,1.1698,1.1473,1.167,-0.14252,1.1704,21.46
1.2483,1.2476,0.32053,1.2512,1.1402,1.2468,-0.037262,1.2476,5.9227
1.3278,1.3269,0.32051,1.3274,4.423,1.3271,0.20302,1.3299,31.272
1.4182,1.416,0.36991,1.4186,10.007,1.418,0.80614,1.4202,118.17
1.4983,1.4961,0.461,1.4986,-5.3289,1.4982,1.0211,1.5004,136.69
1.5779,1.5778,0.5104,1.5778,-9.6122,1.5773,0.40907,1.5785,46.753
1.6663,1.666,0.48027,1.6673,-2.449,1.6659,-0.093294,1.6661,10.859
1.7467,1.7448,0.42001,1.7471,-0.087543,1.745,-0.199,1.7499,25.336
1.8284,1.8274,0.3698,1.8268,1.1555,1.8301,-0.14017,1.8292,20.073
1.9193,1.9193,0.32885,1.9194,2.2658,1.9175,0.0072644,1.921,1
2.0005,1.9984,0.3103,2.0007,1.0744,1.9994,0.15893,2.0033,22.445
2.0824,2.08,0.34966,2.0813,11.725,2.0826,0.703,2.0858,102.26
2.1718,2.1694,0.44848,2.1725,-2.4933,2.1691,1.1078,2.1762,144.98
2.2515,2.2494,0.52027,2.2514,-9.6713,2.2522,0.60548,2.253,67.54
2.3305,2.3267,0.4994,2.3316,-3.7572,2.3296,0.056738,2.334,6.2274
2.4191,2.4183,0.41907,2.4189,-0.080684,2.4159,-0.099623,2.4231,13.462
2.5002,2.4989,0.35959,2.5022,-0.087989,2.4972,-0.091413,2.5026,12.634
2.5792,2.5779,0.32019,2.5782,1.0896,2.5786,-0.049448,2.582,6.9672
2.6686,2.6663,0.3109,2.6708,2.1999,2.666,0.10642,2.6711,15.411
2.7493,2.746,0.34949,2.7494,11.864,2.7495,0.70535,2.7521,101.28
2.8317,2.8317,0.44058,2.8314,-2.4195,2.8286,1.106,2.835,141.58
2.923,2.9226,0.48998,2.9233,-9.5986,2.921,0.60782,2.9249,70.181
3.0024,3.0017,0.46988,3.0034,-3.0267,3.0003,0.084387,3.004,9.2731
3.0826,3.0841,0.39959,3.0814,-0.66511,3.0792,-0.067733,3.0855,9.2512
3.1721,3.1721,0.34011,3.1722,0.57692,3.1678,-0.072202,3.1762,10.437
3.2511,3.2493,0.30071,3.2519,1.6884,3.2476,0.02462,3.2556,4.3668
3.3298,3.3285,0.2891,3.3313,0.43138,3.3275,0.14254,3.332,18.862
3.4187,3.4173,0.31997,3.4194,11.937,3.4162,0.65706,3.4218,96.661