t1,f,t2,v,t3,re
0.087566,0.72768,0.08135,2.4166,0.081504,621.53
0.16462,0.79626,0.16055,2.0403,0.16823,462.98
0.24168,0.82784,0.23835,2.4449,0.25336,543.04
0.33275,0.8139,0.32456,2.1398,0.33241,463.98
0.42382,0.77435,0.41518,1.3614,0.4193,280.96
0.50788,0.68922,0.49005,1.4109,0.49745,336.5
0.57793,0.60404,0.56933,0.98726,0.57659,245.21
0.669,0.52178,0.66339,0.27998,0.6563,68.26
0.75306,0.45943,0.74799,0.8742,0.74795,240.14
0.83012,0.43122,0.83479,0.23772,0.82048,69.265
0.90718,0.403,0.91538,-0.91966,0.91172,302.33
1.0053,0.41756,1.0044,-0.77502,1.0012,269.22
1.0823,0.44629,1.0857,-0.37024,1.0771,125.9
1.1594,0.49494,1.1595,2.3065,1.1725,808.7
1.2539,0.62052,1.2482,4.605,1.2428,1503.6
1.3275,0.74888,1.3206,4.0154,1.3283,996.27
1.4186,0.86876,1.4072,3.4736,1.4222,825.53
1.5096,0.88899,1.4874,2.5529,1.4987,590.43
1.5797,0.87214,1.5814,1.8693,1.582,410.44
1.6637,0.82117,1.6665,2.2268,1.6599,508.82
1.7548,0.68767,1.7459,1.7321,1.7497,423.71
1.8319,0.55696,1.8245,1.6634,1.8245,442.52
1.9159,0.4519,1.9032,1.5711,1.9173,446.15
1.986,0.39804,1.9902,0.83995,2.0007,253.92
2.0806,0.36989,2.0712,-0.55411,2.0833,181.01
2.1471,0.35018,2.1669,-0.16074,2.1627,40.766
2.2452,0.31634,2.2487,-0.0044772,2.2559,-7.6124
2.3292,0.32801,2.3333,0.56607,2.333,194.77
2.4063,0.3909,2.417,1.681,2.4088,599.06
2.4974,0.52501,2.4887,1.4937,2.4952,489.45
2.5744,0.70747,2.5794,2.7035,2.5793,728.59
2.6655,0.83019,2.6498,3.2027,2.665,723
2.7356,0.8532,2.7418,3.6551,2.7571,827.58
2.8126,0.80506,2.8219,2.8054,2.8228,607.71
2.9107,0.73991,2.9092,1.8731,2.9097,430.8
2.9947,0.6804,2.9938,2.4554,2.9802,559.73
3.0718,0.60948,3.066,2.0197,3.0663,499.07
3.1629,0.53718,3.1605,1.0639,3.1677,279.42
3.2399,0.46769,3.2401,0.48639,3.2472,136.12
3.317,0.44517,3.3187,0.42955,3.3293,121.33
3.4081,0.39992,3.4089,-0.124,3.4048,42.248
3.4781,0.38022,3.4775,-0.5835,3.4893,214.08
3.5692,0.36914,3.5696,-0.15475,3.5689,55.489
3.6462,0.36655,3.6474,0.22626,3.6616,74.411
3.7373,0.4181,3.738,1.4597,3.7444,509.33
3.8319,0.53087,3.8276,3.2612,3.823,1020.7
3.9124,0.66636,3.8996,2.9083,3.907,736.72
3.9895,0.7805,3.979,2.4609,3.9939,559.81
4.0736,0.81779,4.0717,2.4873,4.076,554.19
4.1716,0.82666,4.1658,1.7801,4.1592,395.62
4.2487,0.77851,4.2449,1.4274,4.2239,322.59
4.3257,0.70759,4.3172,0.95613,4.3245,225.31
4.4028,0.59682,4.396,0.79278,4.4032,201.32
4.4939,0.50032,4.4897,0.27484,4.5041,61.21
4.5849,0.44938,4.5907,-0.31389,4.5751,104.48
4.662,0.40978,4.6658,-0.40634,4.6534,141.67
4.7461,0.38444,4.7404,-0.19111,4.7396,68.77
4.8161,0.36759,4.8338,-0.54338,4.8315,197.82
4.9142,0.37076,4.9131,-0.99074,4.9089,363.5
4.9982,0.36819,4.9982,-0.63319,4.9955,229.42
5.0823,0.4368,5.0803,1.3337,5.0869,444.13
5.1804,0.57947,5.1769,3.2064,5.1621,931.01
5.2434,0.71349,5.2425,2.4273,5.25,604.21
5.338,0.78925,5.3289,2.0275,5.3363,500.72
5.4221,0.7881,5.4135,2.6217,5.4213,611.37
5.5026,0.7599,5.4989,2.7899,5.4924,648.52
5.5867,0.70894,5.586,1.9641,5.5864,471.66
5.6637,0.62663,5.6663,0.99604,5.6665,227.41
5.7408,0.56995,5.7443,1.2587,5.7515,331.94
5.8389,0.51049,5.8369,1.4035,5.8369,375.29
5.9299,0.45954,5.9174,0.29341,5.9173,88.213
5.993,0.40851,6.0115,-0.4612,6.0096,162.2
6.0701,0.37745,6.0827,-0.34075,6.0884,119.85
6.1541,0.36634,6.1686,-0.48022,6.1523,175.31
6.2452,0.36095,6.2508,-0.54879,6.2449,200.35
6.3363,0.38118,6.3291,1.6074,6.3351,592.49