t1,f,t2,vel
0.0098492,0.90631,0.0098492,0
0.04266,0.90628,0.04266,0
0.055271,1.0012,0.055271,0
0.075184,0.90612,0.075184,0
0.10555,1.002,0.10555,0
0.11554,0.90594,0.11554,-0.06894
0.12592,0.91386,0.12592,-0.085821
0.13842,0.99926,0.13842,-0.067888
0.14038,0.92836,0.14318,3.5977
0.16298,0.9471,0.16272,4.1081
0.18167,0.96837,0.18515,5.5177
0.1992,0.98159,0.20105,5.4854
0.21876,0.9782,0.21694,5.453
0.25321,0.97656,0.23072,5.7861
0.26842,0.9679,0.25841,5.7874
0.28858,0.96966,0.27375,3.5999
0.30622,0.97136,0.28593,4.0805
0.31687,0.9633,0.32493,3.6699
0.34518,0.9634,0.34574,2.5474
0.36211,0.95603,0.36211,-0.068444
0.37986,0.94092,0.37986,-0.084667
0.39757,0.93446,0.39757,-0.084466
0.4109,0.91687,0.4109,-0.084265
0.43915,0.91673,0.43915,-0.084064
0.44682,0.90865,0.44682,-0.083862
0.46926,0.90773,0.46926,-0.083661
0.48723,0.89304,0.48723,-0.08346
0.50614,0.8912,0.50614,-0.083259
0.51945,0.89008,0.51945,-0.083058
0.54114,0.88571,0.54114,-0.082857
0.55218,0.88176,0.55218,0
0.57466,0.88934,0.57466,0
0.59309,0.89279,0.59309,0
0.61154,0.89974,0.61154,0
0.62159,0.90612,0.62159,0
0.67444,0.90574,0.67444,0
0.72049,0.90517,0.72049,0
0.77077,0.90517,0.77077,0
0.82105,0.90517,0.82105,0
0.87133,0.90517,0.87133,0
0.9216,0.90516,0.9216,0
0.97188,0.90516,0.97188,0
1.0222,0.90516,1.02,-0.082656
1.0724,0.90516,1.0799,-0.082455
1.1227,0.90515,1.1398,-0.082254
1.173,0.90515,1.1975,-0.068713
1.2159,0.90573,1.2238,3.6861
1.2263,0.92772,1.2335,-0.0095331
1.2455,0.94829,1.2445,5.4634
1.252,0.96611,1.2616,5.6306
1.2713,0.97507,1.2787,5.7975
1.298,0.98007,1.3001,5.4694
1.314,0.98418,1.3165,5.7853
1.3347,0.98886,1.3336,5.6207
1.3476,0.99222,1.3507,5.4561
1.3663,0.99218,1.3678,4.0851
1.3816,0.98392,1.381,3.6653
1.4078,0.96706,1.4069,3.6693
1.4232,0.9622,1.422,1.8357
1.4364,0.93821,1.4364,-0.050197
1.4605,0.92834,1.4605,-0.081048
1.4764,0.92082,1.4764,-0.080847
1.4952,0.91598,1.4952,-0.080646
1.5053,0.90174,1.5053,-0.080445
1.532,0.89268,1.532,-0.080244
1.5493,0.88988,1.5493,-0.080043
1.5699,0.88238,1.5699,-0.079842
1.5769,0.87606,1.5769,-0.079641
1.6035,0.87625,1.6035,-0.07944
1.6219,0.88335,1.6219,0
1.6347,0.90517,1.6347,0
1.6816,0.90513,1.6816,0
1.7319,0.90513,1.7319,0
1.7821,0.90512,1.7821,0
1.8324,0.90512,1.8324,0
1.8827,0.90512,1.8827,0
1.933,0.90512,1.933,0
1.9833,0.90511,1.9833,0
2.0246,0.90572,2.0246,0
2.029,0.92451,2.0334,-0.064362
2.0464,0.93514,2.0522,4.1985
2.0693,0.94695,2.0731,7.147
2.0877,0.96359,2.085,5.8656
2.1085,0.995,2.1046,7.2917
2.1412,0.99525,2.123,7.5618
2.1606,0.99255,2.1402,5.4467
2.1757,0.99255,2.1585,5.8312
2.1893,0.98465,2.1759,5.4883
2.2144,0.9772,2.2008,5.5746
2.2325,0.97329,2.2162,5.4571
2.2521,0.96722,2.2354,4.0895
2.271,0.96498,2.2541,3.6658
2.2911,0.95261,2.2681,1.8005
2.3079,0.93548,2.3079,-0.05174
2.3218,0.94055,2.3218,-0.078207
2.3325,0.92997,2.3325,-0.078006
2.3521,0.90501,2.3521,-0.077805
2.3697,0.89381,2.3697,-0.077604
2.3862,0.88281,2.3862,-0.048661
2.4068,0.8778,2.4068,0
2.4322,0.88083,2.4322,0
2.4449,0.88531,2.4449,0
2.4675,0.88537,2.4675,0
2.4787,0.90262,2.4787,0
2.5069,0.90267,2.5069,0
2.5247,0.90588,2.5247,0
2.575,0.90582,2.6096,1.8501
2.6253,0.90545,2.6279,4.0192
2.6755,0.90508,2.6492,-0.046044
2.7258,0.90508,2.7052,-0.077001
2.7761,0.90508,2.7651,-0.0768
2.8264,0.90508,2.825,-0.076599
2.8749,0.9055,2.8801,-0.033126
2.8943,0.93738,2.8982,1.8048
2.9123,0.96676,2.9179,7.5769
2.9295,0.97661,2.9334,5.7573
2.9478,0.99676,2.9532,7.5894
2.9782,0.99881,2.9719,7.3537
3.0063,0.99692,2.9881,7.279
3.0249,0.98954,3.027,7.2924
3.0439,0.98571,3.0295,5.7955
3.0616,0.98296,3.061,5.8131
3.0831,0.97924,3.0804,5.443
3.096,0.97571,3.0936,3.6916
3.1176,0.96044,3.1217,3.6954
3.1268,0.94234,3.1294,2.5192
3.1468,0.93789,3.1482,1.8115
3.1629,0.9275,3.1629,-0.051427
3.1782,0.9165,3.1782,-0.075244
3.1981,0.90941,3.1981,-0.075043
3.2158,0.89986,3.2158,-0.074842
3.2337,0.88453,3.2337,0.0093574
3.2529,0.87672,3.2529,0
3.2828,0.88492,3.2828,0
3.2931,0.89265,3.2931,0
3.3058,0.90072,3.3058,0
3.3256,0.90857,3.3256,0
3.3601,0.90851,3.3984,1.7965
3.3949,0.90845,3.4179,3.6225
3.4452,0.90845,3.4325,2.5957
3.4955,0.90845,3.4591,4.054
3.5457,0.90845,3.4783,3.628
3.596,0.90845,3.5017,-0.044748
3.6463,0.90845,3.5594,-0.074135
3.6966,0.90845,3.6193,-0.073934
3.7469,0.90844,3.6792,-0.073733
3.7889,0.90916,3.7391,-0.073532
3.795,0.93059,3.7867,-0.0085263
3.8164,0.93492,3.7968,1.8072
3.8283,0.95759,3.815,4.017
3.8471,0.96641,3.8541,7.5358
3.8656,0.98205,3.8705,7.6097
3.8837,0.99204,3.8837,7.3662
3.9085,0.99417,3.9107,7.3028
3.9222,0.99192,3.9216,5.7935
3.9429,0.98709,3.9448,7.2751
3.9504,0.96899,3.9561,5.8002
3.9824,0.96326,3.9824,5.7987
3.9942,0.95604,3.9975,5.4193
4.0145,0.96046,4.0143,3.6797
4.0367,0.95424,4.0376,3.6647
4.0454,0.93058,4.0488,2.5672
4.0633,0.92039,4.0676,1.8146
4.0911,0.90813,4.0911,-0.04799
4.1222,0.90734,4.1222,-0.07217
4.1381,0.89608,4.1381,-0.071969
4.1606,0.89616,4.1606,-0.06122
4.1778,0.8931,4.1778,0
4.1857,0.88877,4.1857,0
4.2138,0.8898,4.2138,0
4.2232,0.88289,4.2232,0
4.2467,0.88682,4.2467,0
4.2687,0.89803,4.2687,0
4.2847,0.90133,4.2847,0
4.2992,0.90847,4.2986,1.7977
4.3044,0.90874,4.3044,-0.0033658
4.3194,0.90865,4.3194,3.6315
4.3429,0.90861,4.3429,3.6729
4.3562,0.90852,4.3562,4.0813
4.3784,0.90842,4.3784,2.5794
4.3959,0.90869,4.3959,-0.044883
4.4522,0,4.4522,-0.071139
4.5121,0,4.5121,-0.070938
4.5716,0,4.5716,-0.069551
4.6107,0,4.6107,0.000075694