st,t,f,t,a,t,v,t,re,,
0.08,0.08057,1.03517,0.07803,-1.79916,0.08023,1.37291,0.08048,51.98543,,
0.17,0.168,0.86025,0.16436,-5.69038,0.16744,1.04458,0.1661,43.0427,,
0.25,0.25029,0.73332,0.24571,0.02092,0.24942,0.80514,0.24829,41.01969,,
0.33,0.33257,0.98218,0.32208,17.40586,0.32965,1.5336,0.33048,82.20344,,
0.42,0.42,1.17419,0.41007,-7.57322,0.42035,1.93121,0.41952,69.12577,,
0.50,0.49886,0.926,0.4881,-7.57322,0.49884,1.29424,0.49829,49.21238,,
0.58,0.57943,0.73275,0.56779,0.02092,0.57907,0.96591,0.58048,49.1303,,
0.67,0.66171,0.71446,0.64416,-0.04184,0.65756,0.96104,0.66096,52.08615,,
0.75,0.75086,0.72458,0.73381,-1.79916,0.75,0.8821,0.74829,47.1097,,
0.83,0.82971,0.73281,0.81018,0.02092,0.83023,0.80315,0.82877,42.13307,,
0.92,0.91371,0.73219,0.88987,-1.79916,0.90872,0.7242,0.91267,38.25357,,
1.00,0.99943,0.73221,0.9762,-1.79916,0.99942,0.56379,0.99829,29.05767,,
1.08,1.08,0.73223,1.05589,0.08368,1.07791,0.48237,1.08048,25.09373,,
1.17,1.15886,0.9874,1.1306,17.3431,1.1564,1.20589,1.15925,63.15502,,
1.25,1.25143,1.20658,1.22025,-7.57322,1.24884,1.6109,1.25,59.10694,,
1.33,1.332,0.97418,1.29828,-5.87866,1.32907,1.04554,1.33048,39.19359,,
1.42,1.40914,0.77524,1.37797,0.08368,1.4093,0.80363,1.40925,41.13674,,
1.50,1.48971,1.00895,1.45268,19.2887,1.48779,1.6111,1.48801,82.06722,,
1.58,1.58057,1.16939,1.54234,-5.8159,1.58023,2.1692,1.58048,80.21328,,
1.67,1.66114,0.99319,1.62203,-9.64435,1.65872,1.53223,1.65925,58.19018,,
1.75,1.74171,0.82837,1.70172,0.02092,1.73895,1.12489,1.73973,50.09118,,
1.83,1.82914,0.76017,1.78639,-1.86192,1.82965,1.04101,1.82877,52.119,,
1.92,1.91143,0.75135,1.86608,-0.04184,1.90988,0.9596,1.91096,49.08334,,
2.00,1.99029,0.74252,1.94411,-1.86192,1.98663,0.88312,1.98973,45.2037,,
2.08,2.08114,0.73244,2.0321,0.02092,2.07907,0.80418,2.08048,42.08389,,
2.17,2.16,0.74319,2.11013,-1.86192,2.1593,0.72276,2.15925,38.11986,,
2.25,2.24229,0.75142,2.18982,-1.86192,2.23953,0.56234,2.24144,29.17702,,
2.33,2.32114,0.75144,2.26619,0.08368,2.31977,0.48586,2.31849,25.21295,,
2.42,2.412,1.00093,2.35418,17.40586,2.41047,1.20692,2.41096,61.16491,,
2.50,2.49086,1.19231,2.43387,-3.80753,2.4907,1.77242,2.48973,63.10806,,
2.58,2.57143,0.98644,2.51024,-9.70711,2.56744,1.20458,2.56849,46.14825,,
2.67,2.66057,0.82667,2.59823,0.08368,2.65988,0.80466,2.65925,38.3027,,
2.75,2.74114,1.04584,2.67792,21.29707,2.74012,1.69361,2.73801,82.27116,,
2.83,2.82,1.20375,2.75429,-11.58996,2.8186,2.09368,2.81849,77.12574,,
2.92,2.91257,0.97577,2.8456,-3.68201,2.91279,1.45672,2.91267,55.18747,,
3.00,2.99143,0.78379,2.92197,-3.68201,2.99128,1.12839,2.98973,54.17697,,
3.08,3.072,0.74212,2.99834,0.08368,3.06977,0.96549,3.07021,49.28472,,